"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"111","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,1,2,3,1,1,1,1,5,4,3,2,3,1,4,1,2,3,0,2,0,2,4,1,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,1],""bins"":[0.0037159286439418793,0.005035500682424754,0.0063550727209076285,0.007674644759390503,0.008994216797873378,0.010313788836356252,0.011633360874839127,0.012952932913322002,0.014272504951804876,0.015592076990287751,0.016911649028770626,0.0182312210672535,0.019550793105736375,0.02087036514421925,0.022189937182702124,0.023509509221185,0.024829081259667873,0.026148653298150748,0.027468225336633623,0.028787797375116497,0.030107369413599372,0.03142694145208225,0.03274651349056512,0.034066085529047996,0.03538565756753087,0.036705229606013745,0.03802480164449662,0.039344373682979494,0.04066394572146237,0.041983517759945244,0.04330308979842812,0.04462266183691099,0.04594223387539387,0.04726180591387674,0.04858137795235962,0.04990094999084249,0.051220522029325366,0.05254009406780824,0.053859666106291115,0.05517923814477399,0.056498810183256865,0.05781838222173974,0.059137954260222614,0.06045752629870549,0.06177709833718836,0.06309667037567124,0.06441624241415411,0.06573581445263699,0.06705538649111986,0.06837495852960274,0.06969453056808561,0.07101410260656849,0.07233367464505136,0.07365324668353423,0.07497281872201711,0.07629239076049998,0.07761196279898286,0.07893153483746573,0.08025110687594861,0.08157067891443148,0.08289025095291436,0.08420982299139723,0.0855293950298801,0.08684896706836298,0.08816853910684586]}"
"112","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,2,0,0,1,1,2,2,1,4,4,0,2,1,2,1,1,3,2,1,4,2,1,1,1,6,0,3,2,1,0,1,0,0,1,0,0,1,0,0,0,1,1],""bins"":[0.003979038912802935,0.005371477273001801,0.006763915633200668,0.008156353993399534,0.009548792353598401,0.010941230713797268,0.012333669073996134,0.013726107434195,0.015118545794393867,0.016510984154592734,0.0179034225147916,0.019295860874990467,0.020688299235189334,0.0220807375953882,0.023473175955587067,0.024865614315785933,0.0262580526759848,0.027650491036183666,0.029042929396382533,0.0304353677565814,0.031827806116780266,0.03322024447697913,0.034612682837178,0.036005121197376866,0.03739755955757573,0.0387899979177746,0.040182436277973466,0.04157487463817233,0.0429673129983712,0.044359751358570065,0.04575218971876893,0.0471446280789678,0.048537066439166665,0.04992950479936553,0.0513219431595644,0.052714381519763265,0.05410681987996213,0.055499258240161,0.056891696600359865,0.05828413496055873,0.0596765733207576,0.061069011680956464,0.06246145004115533,0.0638538884013542,0.06524632676155306,0.06663876512175193,0.0680312034819508,0.06942364184214966,0.07081608020234853,0.0722085185625474,0.07360095692274626,0.07499339528294513,0.076385833643144,0.07777827200334286,0.07917071036354173,0.0805631487237406,0.08195558708393946,0.08334802544413833,0.0847404638043372,0.08613290216453606,0.08752534052473493,0.0889177788849338,0.09031021724513266,0.09170265560533153,0.0930950939655304]}"
"113","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,3,1,4,3,2,2,4,4,0,1,6,2,3,3,2,1,3,0,1,2,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1],""bins"":[0.0036190424580127,0.005020309163228376,0.006421575868444052,0.007822842573659727,0.009224109278875403,0.010625375984091079,0.012026642689306755,0.01342790939452243,0.014829176099738106,0.016230442804953782,0.017631709510169458,0.019032976215385133,0.02043424292060081,0.021835509625816485,0.02323677633103216,0.024638043036247836,0.026039309741463512,0.027440576446679188,0.028841843151894864,0.03024310985711054,0.031644376562326215,0.03304564326754189,0.03444690997275757,0.03584817667797324,0.03724944338318892,0.038650710088404594,0.04005197679362027,0.041453243498835946,0.04285451020405162,0.0442557769092673,0.04565704361448297,0.04705831031969865,0.048459577024914324,0.04986084373013,0.051262110435345676,0.05266337714056135,0.05406464384577703,0.0554659105509927,0.05686717725620838,0.058268443961424055,0.05966971066663973,0.061070977371855406,0.06247224407707108,0.06387351078228676,0.06527477748750243,0.06667604419271811,0.06807731089793378,0.06947857760314946,0.07087984430836514,0.07228111101358081,0.07368237771879649,0.07508364442401216,0.07648491112922784,0.07788617783444352,0.07928744453965919,0.08068871124487487,0.08208997795009054,0.08349124465530622,0.0848925113605219,0.08629377806573757,0.08769504477095325,0.08909631147616892,0.0904975781813846,0.09189884488660027,0.09330011159181595]}"
"114","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,1,4,0,2,1,4,6,1,1,2,1,1,4,1,2,0,3,4,3,1,1,2,2,3,2,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1],""bins"":[0.0039023554418236017,0.00556951909311465,0.007236682744405698,0.008903846395696746,0.010571010046987794,0.012238173698278842,0.01390533734956989,0.015572501000860939,0.017239664652151987,0.018906828303443035,0.020573991954734083,0.02224115560602513,0.02390831925731618,0.025575482908607228,0.027242646559898276,0.028909810211189324,0.030576973862480372,0.03224413751377142,0.03391130116506247,0.03557846481635352,0.037245628467644565,0.03891279211893561,0.04057995577022666,0.04224711942151771,0.04391428307280876,0.045581446724099806,0.047248610375390854,0.0489157740266819,0.05058293767797295,0.052250101329264,0.053917264980555046,0.055584428631846095,0.05725159228313714,0.05891875593442819,0.06058591958571924,0.06225308323701029,0.06392024688830134,0.06558741053959238,0.06725457419088343,0.06892173784217448,0.07058890149346553,0.07225606514475658,0.07392322879604762,0.07559039244733867,0.07725755609862972,0.07892471974992077,0.08059188340121182,0.08225904705250286,0.08392621070379391,0.08559337435508496,0.08726053800637601,0.08892770165766706,0.0905948653089581,0.09226202896024915,0.0939291926115402,0.09559635626283125,0.0972635199141223,0.09893068356541335,0.1005978472167044,0.10226501086799544,0.10393217451928649,0.10559933817057754,0.10726650182186859,0.10893366547315964,0.11060082912445068]}"
"115","{""values"":[1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,5,1,6,4,1,1,2,4,4,2,3,4,1,1,1,2,2,5,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.004687728825956583,0.007271835776919033,0.009855942727881484,0.012440049678843934,0.015024156629806384,0.017608263580768835,0.020192370531731285,0.022776477482693736,0.025360584433656186,0.027944691384618636,0.030528798335581087,0.03311290528654354,0.03569701223750599,0.03828111918846844,0.04086522613943089,0.04344933309039334,0.04603344004135579,0.04861754699231824,0.05120165394328069,0.05378576089424314,0.05636986784520559,0.05895397479616804,0.06153808174713049,0.06412218869809294,0.06670629564905539,0.06929040260001784,0.07187450955098029,0.07445861650194274,0.07704272345290519,0.07962683040386764,0.0822109373548301,0.08479504430579254,0.087379151256755,0.08996325820771744,0.0925473651586799,0.09513147210964235,0.0977155790606048,0.10029968601156725,0.1028837929625297,0.10546789991349215,0.1080520068644546,0.11063611381541705,0.1132202207663795,0.11580432771734195,0.1183884346683044,0.12097254161926685,0.1235566485702293,0.12614075552119175,0.1287248624721542,0.13130896942311665,0.1338930763740791,0.13647718332504155,0.139061290276004,0.14164539722696645,0.1442295041779289,0.14681361112889135,0.1493977180798538,0.15198182503081625,0.1545659319817787,0.15715003893274115,0.1597341458837036,0.16231825283466605,0.1649023597856285,0.16748646673659096,0.1700705736875534]}"
"116","{""values"":[1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,2,0,1,8,1,2,2,3,3,2,3,0,3,3,3,1,2,1,1,2,2,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0044549331068992615,0.006686357199214399,0.008917781291529536,0.011149205383844674,0.013380629476159811,0.015612053568474948,0.017843477660790086,0.020074901753105223,0.02230632584542036,0.024537749937735498,0.026769174030050635,0.029000598122365773,0.03123202221468091,0.03346344630699605,0.035694870399311185,0.03792629449162632,0.04015771858394146,0.0423891426762566,0.044620566768571734,0.04685199086088687,0.04908341495320201,0.05131483904551715,0.053546263137832284,0.05577768723014742,0.05800911132246256,0.060240535414777696,0.062471959507092834,0.06470338359940797,0.06693480769172311,0.06916623178403825,0.07139765587635338,0.07362907996866852,0.07586050406098366,0.0780919281532988,0.08032335224561393,0.08255477633792907,0.08478620043024421,0.08701762452255934,0.08924904861487448,0.09148047270718962,0.09371189679950476,0.0959433208918199,0.09817474498413503,0.10040616907645017,0.1026375931687653,0.10486901726108044,0.10710044135339558,0.10933186544571072,0.11156328953802586,0.113794713630341,0.11602613772265613,0.11825756181497127,0.1204889859072864,0.12272040999960154,0.12495183409191668,0.12718325818423182,0.12941468227654696,0.1316461063688621,0.13387753046117723,0.13610895455349237,0.1383403786458075,0.14057180273812264,0.14280322683043778,0.14503465092275292,0.14726607501506805]}"
"117","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,1,1,1,0,1,1,0,2,0,1,1,3,4,4,2,0,2,2,7,2,4,2,4,4,2,2,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.005932481028139591,0.008824759846902452,0.011717038665665314,0.014609317484428175,0.017501596303191036,0.020393875121953897,0.02328615394071676,0.02617843275947962,0.02907071157824248,0.03196299039700534,0.0348552692157682,0.037747548034531064,0.040639826853293926,0.04353210567205679,0.04642438449081965,0.04931666330958251,0.05220894212834537,0.05510122094710823,0.05799349976587109,0.060885778584633954,0.06377805740339682,0.06667033622215968,0.06956261504092254,0.0724548938596854,0.07534717267844826,0.07823945149721112,0.08113173031597398,0.08402400913473684,0.0869162879534997,0.08980856677226257,0.09270084559102543,0.09559312440978829,0.09848540322855115,0.10137768204731401,0.10426996086607687,0.10716223968483973,0.1100545185036026,0.11294679732236546,0.11583907614112832,0.11873135495989118,0.12162363377865404,0.1245159125974169,0.12740819141617976,0.13030047023494262,0.13319274905370548,0.13608502787246834,0.1389773066912312,0.14186958550999407,0.14476186432875693,0.1476541431475198,0.15054642196628265,0.1534387007850455,0.15633097960380837,0.15922325842257123,0.1621155372413341,0.16500781606009696,0.16790009487885982,0.17079237369762268,0.17368465251638554,0.1765769313351484,0.17946921015391126,0.18236148897267412,0.18525376779143699,0.18814604661019985,0.1910383254289627]}"
"118","{""values"":[1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,3,3,2,2,2,3,0,2,2,1,0,0,1,0,3,4,1,0,2,3,3,3,5,1,1,1,1,0,0,1,0,1,1,2],""_type"":""histogram"",""bins"":[0.008384419605135918,0.010168181412154809,0.0119519432191737,0.01373570502619259,0.015519466833211482,0.017303228640230373,0.019086990447249264,0.020870752254268155,0.022654514061287045,0.024438275868305936,0.026222037675324827,0.02800579948234372,0.02978956128936261,0.0315733230963815,0.03335708490340039,0.03514084671041928,0.03692460851743817,0.038708370324457064,0.040492132131475955,0.042275893938494846,0.04405965574551374,0.04584341755253263,0.04762717935955152,0.04941094116657041,0.0511947029735893,0.05297846478060819,0.05476222658762708,0.056545988394645974,0.058329750201664865,0.060113512008683756,0.06189727381570265,0.06368103562272154,0.06546479742974043,0.06724855923675932,0.06903232104377821,0.0708160828507971,0.07259984465781599,0.07438360646483488,0.07616736827185377,0.07795113007887267,0.07973489188589156,0.08151865369291045,0.08330241549992934,0.08508617730694823,0.08686993911396712,0.08865370092098601,0.0904374627280049,0.0922212245350238,0.09400498634204268,0.09578874814906158,0.09757250995608047,0.09935627176309936,0.10114003357011825,0.10292379537713714,0.10470755718415603,0.10649131899117492,0.10827508079819381,0.1100588426052127,0.1118426044122316,0.11362636621925049,0.11541012802626938,0.11719388983328827,0.11897765164030716,0.12076141344732605,0.12254517525434494]}"
"119","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,2,1,0,1,3,2,2,1,5,2,1,4,2,0,1,0,5,1,0,2,5,1,0,0,1,0,2,0,2,1,1,0,1],""bins"":[0.007254339288920164,0.009052737390447874,0.010851135491975583,0.012649533593503293,0.014447931695031002,0.01624632979655871,0.01804472789808642,0.01984312599961413,0.02164152410114184,0.02343992220266955,0.02523832030419726,0.02703671840572497,0.02883511650725268,0.030633514608780388,0.0324319127103081,0.03423031081183581,0.036028708913363516,0.037827107014891226,0.039625505116418935,0.041423903217946645,0.043222301319474354,0.045020699421002064,0.04681909752252977,0.04861749562405748,0.05041589372558519,0.0522142918271129,0.05401268992864061,0.05581108803016832,0.05760948613169603,0.05940788423322374,0.06120628233475145,0.06300468043627916,0.06480307853780687,0.06660147663933458,0.06839987474086229,0.07019827284239,0.0719966709439177,0.07379506904544542,0.07559346714697313,0.07739186524850084,0.07919026335002854,0.08098866145155625,0.08278705955308396,0.08458545765461167,0.08638385575613938,0.08818225385766709,0.0899806519591948,0.09177905006072251,0.09357744816225022,0.09537584626377793,0.09717424436530564,0.09897264246683335,0.10077104056836106,0.10256943866988877,0.10436783677141648,0.10616623487294419,0.1079646329744719,0.1097630310759996,0.11156142917752732,0.11335982727905503,0.11515822538058273,0.11695662348211044,0.11875502158363815,0.12055341968516586,0.12235181778669357]}"
"120","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,2,1,2,0,3,5,2,2,5,3,1,1,4,2,1,1,2,1,1,1,1,3,4,1,0,0,2,0,1,0,0,0,0,0,0,2],""bins"":[0.006839952431619167,0.008797331145615317,0.010754709859611467,0.012712088573607616,0.014669467287603766,0.016626846001599915,0.018584224715596065,0.020541603429592215,0.022498982143588364,0.024456360857584514,0.026413739571580663,0.028371118285576813,0.030328496999572963,0.03228587571356911,0.03424325442756526,0.03620063314156141,0.03815801185555756,0.04011539056955371,0.04207276928354986,0.04403014799754601,0.04598752671154216,0.04794490542553831,0.04990228413953446,0.05185966285353061,0.05381704156752676,0.05577442028152291,0.05773179899551906,0.059689177709515207,0.061646556423511356,0.0636039351375075,0.06556131385150366,0.0675186925654998,0.06947607127949595,0.0714334499934921,0.07339082870748825,0.0753482074214844,0.07730558613548055,0.0792629648494767,0.08122034356347285,0.083177722277469,0.08513510099146515,0.0870924797054613,0.08904985841945745,0.0910072371334536,0.09296461584744975,0.0949219945614459,0.09687937327544205,0.0988367519894382,0.10079413070343435,0.1027515094174305,0.10470888813142665,0.1066662668454228,0.10862364555941895,0.1105810242734151,0.11253840298741125,0.1144957817014074,0.11645316041540354,0.1184105391293997,0.12036791784339584,0.122325296557392,0.12428267527138814,0.1262400539853843,0.12819743269938044,0.1301548114133766,0.13211219012737274]}"
"121","{""values"":[1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,2,3,0,1,2,4,3,3,1,2,2,5,1,2,3,3,4,2,0,1,1,1,1,0,0,1,0,0,0,0,1,1,2,1,1,1,0,1,0,0,1],""_type"":""histogram"",""bins"":[0.005627292208373547,0.008171579756890424,0.0107158673054073,0.013260154853924178,0.015804442402441055,0.01834872995095793,0.02089301749947481,0.023437305047991686,0.025981592596508563,0.02852588014502544,0.031070167693542317,0.033614455242059194,0.03615874279057607,0.03870303033909295,0.041247317887609825,0.0437916054361267,0.04633589298464358,0.048880180533160456,0.05142446808167733,0.05396875563019421,0.056513043178711087,0.059057330727227964,0.06160161827574484,0.06414590582426172,0.0666901933727786,0.06923448092129547,0.07177876846981235,0.07432305601832923,0.0768673435668461,0.07941163111536298,0.08195591866387986,0.08450020621239673,0.08704449376091361,0.08958878130943049,0.09213306885794736,0.09467735640646424,0.09722164395498112,0.099765931503498,0.10231021905201487,0.10485450660053175,0.10739879414904863,0.1099430816975655,0.11248736924608238,0.11503165679459926,0.11757594434311613,0.12012023189163301,0.12266451944014989,0.12520880698866677,0.12775309453718364,0.13029738208570052,0.1328416696342174,0.13538595718273427,0.13793024473125115,0.14047453227976803,0.1430188198282849,0.14556310737680178,0.14810739492531866,0.15065168247383554,0.1531959700223524,0.1557402575708693,0.15828454511938617,0.16082883266790304,0.16337312021641992,0.1659174077649368,0.16846169531345367]}"
"122","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,2,0,1,4,2,4,1,4,2,5,2,1,5,0,4,2,1,1,0,1,0,3,1,2,1,0,0,0,2,0,1,0,0,0,0,0,0,1],""bins"":[0.0060420106165111065,0.008504963137966115,0.010967915659421124,0.013430868180876132,0.01589382070233114,0.01835677322378615,0.020819725745241158,0.023282678266696166,0.025745630788151175,0.028208583309606183,0.030671535831061192,0.0331344883525162,0.03559744087397121,0.03806039339542622,0.040523345916881226,0.042986298438336235,0.04544925095979124,0.04791220348124625,0.05037515600270126,0.05283810852415627,0.05530106104561128,0.057764013567066286,0.060226966088521294,0.0626899186099763,0.06515287113143131,0.06761582365288632,0.07007877617434133,0.07254172869579634,0.07500468121725135,0.07746763373870635,0.07993058626016136,0.08239353878161637,0.08485649130307138,0.08731944382452639,0.0897823963459814,0.0922453488674364,0.09470830138889141,0.09717125391034642,0.09963420643180143,0.10209715895325644,0.10456011147471145,0.10702306399616646,0.10948601651762147,0.11194896903907647,0.11441192156053148,0.11687487408198649,0.1193378266034415,0.12180077912489651,0.12426373164635152,0.12672668416780652,0.12918963668926153,0.13165258921071654,0.13411554173217155,0.13657849425362656,0.13904144677508157,0.14150439929653658,0.14396735181799158,0.1464303043394466,0.1488932568609016,0.1513562093823566,0.15381916190381162,0.15628211442526663,0.15874506694672164,0.16120801946817664,0.16367097198963165]}"
"123","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,1,1,0,3,0,1,1,5,1,3,4,2,3,1,2,4,1,2,2,0,1,2,2,0,1,1,1,0,2,0,0,1,1,0,1,1],""bins"":[0.007332161534577608,0.009469380362133961,0.011606599189690314,0.013743818017246667,0.01588103684480302,0.018018255672359373,0.020155474499915726,0.02229269332747208,0.024429912155028433,0.026567130982584786,0.02870434981014114,0.030841568637697492,0.032978787465253845,0.0351160062928102,0.03725322512036655,0.039390443947922904,0.04152766277547926,0.04366488160303561,0.04580210043059196,0.047939319258148316,0.05007653808570467,0.05221375691326102,0.054350975740817375,0.05648819456837373,0.05862541339593008,0.060762632223486435,0.06289985105104279,0.06503706987859914,0.0671742887061555,0.06931150753371185,0.0714487263612682,0.07358594518882455,0.0757231640163809,0.07786038284393726,0.07999760167149361,0.08213482049904997,0.08427203932660632,0.08640925815416267,0.08854647698171902,0.09068369580927538,0.09282091463683173,0.09495813346438808,0.09709535229194444,0.09923257111950079,0.10136978994705714,0.1035070087746135,0.10564422760216985,0.1077814464297262,0.10991866525728256,0.11205588408483891,0.11419310291239526,0.11633032173995161,0.11846754056750797,0.12060475939506432,0.12274197822262067,0.12487919705017703,0.12701641587773338,0.12915363470528973,0.13129085353284609,0.13342807236040244,0.1355652911879588,0.13770251001551514,0.1398397288430715,0.14197694767062785,0.1441141664981842]}"
"124","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,3,2,6,2,2,5,3,3,2,3,2,1,1,1,2,3,4,0,0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.007822644896805286,0.010857475499506108,0.01389230610220693,0.016927136704907753,0.019961967307608575,0.022996797910309397,0.02603162851301022,0.02906645911571104,0.03210128971841186,0.035136120321112685,0.03817095092381351,0.04120578152651433,0.04424061212921515,0.04727544273191597,0.050310273334616795,0.05334510393731762,0.05637993454001844,0.05941476514271926,0.06244959574542008,0.0654844263481209,0.06851925695082173,0.07155408755352255,0.07458891815622337,0.0776237487589242,0.08065857936162502,0.08369340996432584,0.08672824056702666,0.08976307116972748,0.0927979017724283,0.09583273237512913,0.09886756297782995,0.10190239358053077,0.10493722418323159,0.10797205478593241,0.11100688538863324,0.11404171599133406,0.11707654659403488,0.1201113771967357,0.12314620779943652,0.12618103840213735,0.12921586900483817,0.132250699607539,0.1352855302102398,0.13832036081294063,0.14135519141564146,0.14439002201834228,0.1474248526210431,0.15045968322374392,0.15349451382644475,0.15652934442914557,0.1595641750318464,0.1625990056345472,0.16563383623724803,0.16866866683994886,0.17170349744264968,0.1747383280453505,0.17777315864805132,0.18080798925075214,0.18384281985345297,0.1868776504561538,0.1899124810588546,0.19294731166155543,0.19598214226425625,0.19901697286695708,0.2020518034696579]}"
"125","{""values"":[1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,3,1,1,5,1,7,4,5,0,3,1,1,2,3,2,3,1,1,2,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.006487912964075804,0.009511227610346396,0.012534542256616987,0.015557856902887579,0.01858117154915817,0.021604486195428763,0.024627800841699354,0.027651115487969946,0.030674430134240538,0.03369774478051113,0.03672105942678172,0.03974437407305231,0.042767688719322905,0.0457910033655935,0.04881431801186409,0.05183763265813468,0.05486094730440527,0.057884261950675864,0.060907576596946456,0.06393089124321705,0.06695420588948764,0.06997752053575823,0.07300083518202882,0.07602414982829941,0.07904746447457,0.0820707791208406,0.08509409376711119,0.08811740841338178,0.09114072305965237,0.09416403770592296,0.09718735235219356,0.10021066699846415,0.10323398164473474,0.10625729629100533,0.10928061093727592,0.11230392558354652,0.11532724022981711,0.1183505548760877,0.12137386952235829,0.12439718416862888,0.12742049881489947,0.13044381346117007,0.13346712810744066,0.13649044275371125,0.13951375739998184,0.14253707204625243,0.14556038669252302,0.14858370133879362,0.1516070159850642,0.1546303306313348,0.1576536452776054,0.16067695992387598,0.16370027457014658,0.16672358921641717,0.16974690386268776,0.17277021850895835,0.17579353315522894,0.17881684780149953,0.18184016244777013,0.18486347709404072,0.1878867917403113,0.1909101063865819,0.1939334210328525,0.19695673567912308,0.19998005032539368]}"
"126","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,2,0,2,0,2,1,4,4,4,3,4,0,0,3,2,3,2,2,2,2,3,1,1,1,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1],""bins"":[0.006179471034556627,0.009065055455721449,0.011950639876886271,0.014836224298051093,0.017721808719215915,0.020607393140380736,0.02349297756154556,0.02637856198271038,0.029264146403875202,0.032149730825040024,0.035035315246204846,0.03792089966736967,0.04080648408853449,0.04369206850969931,0.04657765293086413,0.049463237352028955,0.05234882177319378,0.0552344061943586,0.05811999061552342,0.06100557503668824,0.06389115945785306,0.06677674387901789,0.06966232830018271,0.07254791272134753,0.07543349714251235,0.07831908156367717,0.081204665984842,0.08409025040600682,0.08697583482717164,0.08986141924833646,0.09274700366950128,0.0956325880906661,0.09851817251183093,0.10140375693299575,0.10428934135416057,0.10717492577532539,0.11006051019649021,0.11294609461765504,0.11583167903881986,0.11871726345998468,0.1216028478811495,0.12448843230231432,0.12737401672347914,0.13025960114464397,0.1331451855658088,0.1360307699869736,0.13891635440813843,0.14180193882930325,0.14468752325046808,0.1475731076716329,0.15045869209279772,0.15334427651396254,0.15622986093512736,0.15911544535629218,0.162001029777457,0.16488661419862183,0.16777219861978665,0.17065778304095147,0.1735433674621163,0.17642895188328112,0.17931453630444594,0.18220012072561076,0.18508570514677558,0.1879712895679404,0.19085687398910522]}"
"127","{""values"":[1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,2,1,2,4,4,5,4,4,5,0,1,2,4,2,1,2,5,1,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.006528638303279877,0.010052989120595157,0.013577339937910438,0.017101690755225718,0.020626041572541,0.02415039238985628,0.02767474320717156,0.03119909402448684,0.03472344484180212,0.0382477956591174,0.04177214647643268,0.04529649729374796,0.04882084811106324,0.05234519892837852,0.0558695497456938,0.05939390056300908,0.06291825138032436,0.06644260219763964,0.06996695301495492,0.0734913038322702,0.07701565464958549,0.08054000546690077,0.08406435628421605,0.08758870710153133,0.09111305791884661,0.09463740873616189,0.09816175955347717,0.10168611037079245,0.10521046118810773,0.10873481200542301,0.11225916282273829,0.11578351364005357,0.11930786445736885,0.12283221527468413,0.1263565660919994,0.1298809169093147,0.13340526772662997,0.13692961854394525,0.14045396936126053,0.1439783201785758,0.1475026709958911,0.15102702181320637,0.15455137263052166,0.15807572344783694,0.16160007426515222,0.1651244250824675,0.16864877589978278,0.17217312671709806,0.17569747753441334,0.17922182835172862,0.1827461791690439,0.18627052998635918,0.18979488080367446,0.19331923162098974,0.19684358243830502,0.2003679332556203,0.20389228407293558,0.20741663489025086,0.21094098570756614,0.21446533652488142,0.2179896873421967,0.22151403815951198,0.22503838897682726,0.22856273979414254,0.23208709061145782]}"
"128","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1,1,1,1,6,3,4,5,2,3,3,2,2,0,0,3,3,0,3,2,0,0,3,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,2],""bins"":[0.005879932548850775,0.008712612652743701,0.011545292756636627,0.014377972860529553,0.01721065296442248,0.020043333068315405,0.02287601317220833,0.025708693276101258,0.028541373379994184,0.03137405348388711,0.034206733587780036,0.03703941369167296,0.03987209379556589,0.042704773899458814,0.04553745400335174,0.04837013410724467,0.05120281421113759,0.05403549431503052,0.056868174418923445,0.05970085452281637,0.0625335346267093,0.06536621473060222,0.06819889483449515,0.07103157493838808,0.073864255042281,0.07669693514617393,0.07952961525006685,0.08236229535395978,0.0851949754578527,0.08802765556174563,0.09086033566563856,0.09369301576953148,0.09652569587342441,0.09935837597731734,0.10219105608121026,0.10502373618510319,0.10785641628899612,0.11068909639288904,0.11352177649678197,0.1163544566006749,0.11918713670456782,0.12201981680846075,0.12485249691235367,0.1276851770162466,0.13051785712013952,0.13335053722403245,0.13618321732792538,0.1390158974318183,0.14184857753571123,0.14468125763960415,0.14751393774349708,0.15034661784739,0.15317929795128293,0.15601197805517586,0.15884465815906879,0.1616773382629617,0.16451001836685464,0.16734269847074756,0.1701753785746405,0.17300805867853342,0.17584073878242634,0.17867341888631927,0.1815060989902122,0.18433877909410512,0.18717145919799805]}"
